night,fighter_A,fighter_B,winner
41,845,73,fighter_A
41,256,216,fighter_A
42,894,463,fighter_B
42,614,534,fighter_B
42,772,485,fighter_B
42,590,794,fighter_B
42,468,67,fighter_B
42,905,954,fighter_A
42,736,613,fighter_B
42,950,164,fighter_A
42,401,899,fighter_A
43,448,777,fighter_A
43,363,577,fighter_B
43,146,35,fighter_B
43,360,127,fighter_A
43,369,513,fighter_A
43,181,398,fighter_B
43,854,130,fighter_B
43,990,149,fighter_B
43,511,706,fighter_A
44,464,441,fighter_B
44,995,103,fighter_B
44,95,380,fighter_B
44,419,773,fighter_A
44,739,700,fighter_B
44,463,294,fighter_A
44,767,91,fighter_A
44,300,656,fighter_B
44,293,447,fighter_A
45,142,23,fighter_A
45,526,487,fighter_B
45,686,826,fighter_A
45,61,858,fighter_B
45,128,183,fighter_A
45,931,433,fighter_B
45,369,823,fighter_B
45,561,515,fighter_B
45,158,964,fighter_A
46,823,536,fighter_A
46,141,33,fighter_A
46,864,798,fighter_B
46,521,432,fighter_A
46,413,97,fighter_A
46,672,468,fighter_B
46,791,436,fighter_A
46,459,31,fighter_A
46,222,163,fighter_B
47,166,336,fighter_B
47,744,286,fighter_A
47,713,789,fighter_A
47,721,765,fighter_A
47,90,408,fighter_A
47,91,862,fighter_A
47,696,615,fighter_A
47,35,802,fighter_B
47,34,498,fighter_B
48,911,954,fighter_B
48,445,614,fighter_A
48,729,645,fighter_A
48,259,973,fighter_B
48,548,468,fighter_A
48,845,373,fighter_A
48,260,263,fighter_B
48,55,751,fighter_B
48,635,397,fighter_B
49,522,246,fighter_A
49,14,380,fighter_B
49,598,507,fighter_B
49,614,935,fighter_A
49,366,440,fighter_B
49,304,169,fighter_A
49,341,996,fighter_B
49,65,167,fighter_B
49,330,119,fighter_B
50,438,280,fighter_A
50,481,160,fighter_B
50,170,197,fighter_B
50,320,268,fighter_A
50,935,496,fighter_A
50,755,782,fighter_B
50,620,410,fighter_B
50,278,923,fighter_B
50,515,415,fighter_A
51,377,478,fighter_B
51,727,332,fighter_B
51,799,838,fighter_A
51,497,329,fighter_A
51,940,501,fighter_A
51,290,888,fighter_B
51,653,295,fighter_B
51,675,766,fighter_A
51,967,326,fighter_A
52,501,996,fighter_A
52,315,717,fighter_B
52,893,392,fighter_A
52,136,7,fighter_B
52,642,749,fighter_B
52,122,848,fighter_B
52,696,830,fighter_A
52,660,180,fighter_B
52,266,875,fighter_B
53,155,150,fighter_A
53,929,940,fighter_A
53,497,959,fighter_A
53,452,200,fighter_B
53,593,245,fighter_A
53,682,5,fighter_B
53,224,778,fighter_A
53,115,304,fighter_A
53,75,317,fighter_B
54,627,151,fighter_A
54,20,18,fighter_B
54,702,957,fighter_B
54,547,764,fighter_A
54,58,293,fighter_B
54,198,564,fighter_B
54,269,180,fighter_A
54,719,118,fighter_A
54,69,256,fighter_B
55,54,577,fighter_B
55,876,827,fighter_A
55,803,727,fighter_A
55,780,883,fighter_B
55,892,283,fighter_A
55,422,725,fighter_A
55,148,546,fighter_B
55,483,221,fighter_B
55,863,466,fighter_B
56,147,861,fighter_A
56,533,70,fighter_A
56,540,490,fighter_B
56,392,922,fighter_B
56,666,522,fighter_B
56,555,536,fighter_B
56,168,587,fighter_B
56,852,1,fighter_B
56,157,177,fighter_B
57,627,985,fighter_B
57,145,295,fighter_B
57,676,861,fighter_A
57,999,194,fighter_B
57,784,413,fighter_A
57,411,524,fighter_B
57,624,895,fighter_A
57,532,29,fighter_B
57,751,363,fighter_A
58,158,287,fighter_B
58,29,301,fighter_A
58,589,128,fighter_A
58,698,98,fighter_A
58,925,713,fighter_B
58,503,499,fighter_A
58,799,465,fighter_B
58,173,725,fighter_A
58,23,696,fighter_B
59,891,195,fighter_B
59,606,881,fighter_B
59,616,631,fighter_A
59,518,476,fighter_A
59,307,158,fighter_B
59,937,495,fighter_A
59,584,239,fighter_A
59,761,142,fighter_A
59,284,608,fighter_A
60,387,473,fighter_B
60,740,211,fighter_B
60,289,415,fighter_B
60,426,672,fighter_A
60,171,577,fighter_B
60,689,711,fighter_B
60,713,588,fighter_A
60,546,117,fighter_B
60,964,770,fighter_B
61,358,831,fighter_A
61,643,477,fighter_A
61,63,596,fighter_A
61,58,111,fighter_B
61,120,48,fighter_B
61,315,128,fighter_A
61,373,398,fighter_B
61,311,814,fighter_A
61,312,375,fighter_A
62,739,26,fighter_A
62,984,57,fighter_A
62,196,627,fighter_A
62,419,220,fighter_B
62,889,641,fighter_A
62,812,103,fighter_B
62,725,549,fighter_B
62,232,903,fighter_A
62,299,985,fighter_B
63,376,307,fighter_B
63,855,257,fighter_B
63,688,8,fighter_A
63,113,430,fighter_B
63,342,348,fighter_A
63,753,154,fighter_A
63,97,710,fighter_B
63,145,538,fighter_B
63,435,182,fighter_B
64,706,584,fighter_A
64,222,807,fighter_A
64,529,446,fighter_B
64,827,418,fighter_B
64,721,547,fighter_B
64,968,462,fighter_A
64,166,895,fighter_A
64,116,957,fighter_B
64,416,17,fighter_A
65,436,200,fighter_B
65,653,888,fighter_A
65,504,884,fighter_A
65,13,665,fighter_B
65,676,310,fighter_B
65,500,559,fighter_A
65,457,912,fighter_B
65,326,464,fighter_A
65,835,555,fighter_B
66,930,752,fighter_A
66,182,681,fighter_B
66,106,823,fighter_A
66,111,139,fighter_B
66,488,787,fighter_A
66,591,713,fighter_A
66,393,625,fighter_B
66,44,759,fighter_B
66,295,67,fighter_A
67,286,468,fighter_A
67,124,656,fighter_B
67,289,401,fighter_A
67,35,940,fighter_B
67,99,593,fighter_A
67,568,764,fighter_B
67,375,997,fighter_B
67,81,376,fighter_A
67,199,537,fighter_A
68,236,374,fighter_B
68,390,395,fighter_B
68,661,80,fighter_B
68,10,996,fighter_B
68,153,168,fighter_B
68,42,446,fighter_B
68,678,105,fighter_B
68,905,938,fighter_B
68,437,586,fighter_B
69,448,45,fighter_B
69,11,227,fighter_A
69,400,697,fighter_B
69,347,116,fighter_B
69,350,339,fighter_B
69,376,390,fighter_A
69,25,506,fighter_A
69,112,980,fighter_B
69,690,588,fighter_B
70,856,362,fighter_B
70,68,958,fighter_A
70,751,467,fighter_A
70,848,961,fighter_B
70,773,179,fighter_B
70,512,540,fighter_A
70,333,473,fighter_A
70,471,919,fighter_B
70,762,927,fighter_A
71,241,344,fighter_A
71,225,399,fighter_B
71,187,636,fighter_A
71,368,720,fighter_A
71,5,542,fighter_A
71,983,499,fighter_B
71,713,796,fighter_A
71,488,6,fighter_B
71,992,107,fighter_A
72,426,675,fighter_A
72,474,896,fighter_A
72,793,573,fighter_A
72,331,127,fighter_A
72,951,447,fighter_A
72,185,985,fighter_A
72,540,831,fighter_A
72,928,868,fighter_A
72,8,476,fighter_B
73,975,556,fighter_A
73,715,102,fighter_A
73,803,112,fighter_B
73,104,191,fighter_B
73,115,417,fighter_B
73,573,639,fighter_B
73,281,173,fighter_B
73,764,442,fighter_B
73,391,824,fighter_B
74,226,18,fighter_A
74,768,169,fighter_B
74,495,270,fighter_B
74,366,612,fighter_B
74,965,119,fighter_B
74,480,99,fighter_B
74,227,275,fighter_B
74,703,63,fighter_B
74,646,164,fighter_A
75,3,27,fighter_A
75,166,90,fighter_B
75,638,125,fighter_B
75,918,732,fighter_B
75,820,756,fighter_B
75,700,794,fighter_A
75,829,983,fighter_B
75,615,251,fighter_B
75,214,990,fighter_A
76,848,698,fighter_B
76,401,570,fighter_B
76,941,441,fighter_A
76,860,454,fighter_B
76,925,481,fighter_B
76,303,887,fighter_A
76,489,733,fighter_B
76,305,502,fighter_B
76,618,188,fighter_B
77,373,867,fighter_B
77,956,640,fighter_B
77,456,733,fighter_A
77,765,47,fighter_B
77,286,102,fighter_A
77,585,644,fighter_A
77,409,776,fighter_A
77,12,197,fighter_A
77,849,81,fighter_B
78,838,403,fighter_A
78,960,521,fighter_B
78,210,157,fighter_A
78,468,827,fighter_A
78,365,276,fighter_A
78,580,111,fighter_B
78,926,382,fighter_B
78,251,235,fighter_A
78,204,816,fighter_B
79,778,634,fighter_B
79,651,476,fighter_B
79,128,493,fighter_A
79,33,228,fighter_B
79,148,189,fighter_A
79,769,462,fighter_A
79,547,424,fighter_A
79,461,447,fighter_B
79,126,596,fighter_A
80,639,374,fighter_B
80,466,917,fighter_B
80,406,643,fighter_B
80,663,394,fighter_B
80,878,468,fighter_B
80,104,560,fighter_B
80,382,691,fighter_B
80,365,954,fighter_A
80,819,30,fighter_B
81,883,284,fighter_A
81,123,251,fighter_B
81,931,433,fighter_A
81,448,51,fighter_B
81,146,249,fighter_A
81,773,256,fighter_A
81,543,534,fighter_B
81,717,359,fighter_A
81,738,49,fighter_A
82,138,159,fighter_A
82,420,493,fighter_B
82,570,487,fighter_A
82,967,826,fighter_A
82,722,238,fighter_A
82,359,288,fighter_A
82,539,59,fighter_B
82,114,590,fighter_B
82,48,64,fighter_A
83,87,619,fighter_A
83,79,645,fighter_A
83,159,597,fighter_B
83,332,219,fighter_B
83,656,984,fighter_B
83,793,750,fighter_A
83,517,435,fighter_B
83,671,385,fighter_B
83,985,100,fighter_A
84,13,669,fighter_A
84,836,730,fighter_A
84,695,212,fighter_B
84,613,98,fighter_A
84,562,383,fighter_B
84,831,220,fighter_B
84,796,298,fighter_A
84,560,444,fighter_B
84,657,147,fighter_A
85,693,856,fighter_A
85,616,578,fighter_B
85,962,558,fighter_B
85,348,440,fighter_B
85,785,766,fighter_B
85,683,536,fighter_A
85,507,473,fighter_A
85,684,193,fighter_A
85,213,479,fighter_B
86,672,5,fighter_A
86,979,964,fighter_A
86,608,792,fighter_A
86,363,817,fighter_B
86,409,506,fighter_A
86,554,145,fighter_A
86,73,104,fighter_A
86,366,309,fighter_A
86,514,480,fighter_B
87,395,331,fighter_A
87,145,396,fighter_B
87,995,117,fighter_A
87,556,688,fighter_B
87,101,63,fighter_A
87,46,434,fighter_A
87,312,456,fighter_B
87,739,123,fighter_B
87,113,267,fighter_A
88,791,306,fighter_B
88,930,868,fighter_B
88,378,933,fighter_B
88,944,484,fighter_B
88,429,213,fighter_B
88,909,951,fighter_B
88,189,943,fighter_A
88,326,165,fighter_B
88,877,183,fighter_B
89,372,519,fighter_A
89,482,900,fighter_A
89,551,987,fighter_A
89,717,708,fighter_A
89,443,977,fighter_A
89,364,128,fighter_B
89,411,239,fighter_A
89,814,846,fighter_B
89,475,472,fighter_B
90,390,907,fighter_B
90,281,224,fighter_B
90,313,322,fighter_A
90,197,532,fighter_B
90,341,61,fighter_A
90,762,938,fighter_A
90,138,248,fighter_B
90,959,997,fighter_B
90,779,693,fighter_B
91,490,877,fighter_A
91,226,621,fighter_B
91,598,266,fighter_B
91,159,591,fighter_B
91,981,956,fighter_B
91,296,620,fighter_A
91,169,280,fighter_A
91,183,396,fighter_A
91,932,425,fighter_A
92,92,655,fighter_B
92,166,945,fighter_B
92,326,777,fighter_B
92,587,188,fighter_A
92,71,43,fighter_A
92,676,306,fighter_A
92,380,734,fighter_A
92,404,448,fighter_A
92,624,805,fighter_A
93,114,846,fighter_A
93,776,851,fighter_A
93,12,834,fighter_A
93,241,643,fighter_A
93,823,783,fighter_A
93,202,869,fighter_A
93,172,719,fighter_B
93,7,396,fighter_A
93,184,328,fighter_B
94,3,534,fighter_B
94,870,26,fighter_B
94,529,866,fighter_A
94,431,134,fighter_B
94,586,48,fighter_B
94,850,125,fighter_A
94,83,63,fighter_B
94,825,574,fighter_B
94,758,232,fighter_A
95,769,955,fighter_A
95,196,210,fighter_A
95,197,458,fighter_B
95,943,321,fighter_B
95,649,13,fighter_B
95,159,205,fighter_B
95,904,915,fighter_A
95,209,858,fighter_B
95,931,780,fighter_B
96,685,64,fighter_B
96,555,268,fighter_B
96,654,154,fighter_A
96,674,229,fighter_B
96,893,863,fighter_A
96,710,259,fighter_A
96,26,870,fighter_B
96,293,304,fighter_A
96,884,682,fighter_A
97,826,148,fighter_B
97,147,972,fighter_A
97,214,687,fighter_B
97,219,322,fighter_B
97,799,202,fighter_A
97,595,908,fighter_A
97,784,69,fighter_B
97,188,611,fighter_B
97,276,566,fighter_B
98,598,550,fighter_B
98,867,454,fighter_A
98,40,567,fighter_A
98,616,943,fighter_B
98,471,509,fighter_B
98,398,961,fighter_B
98,619,769,fighter_B
98,652,850,fighter_B
98,639,67,fighter_A
99,870,519,fighter_B
99,564,313,fighter_B
99,775,812,fighter_B
99,694,922,fighter_B
99,903,677,fighter_B
99,464,679,fighter_A
99,616,657,fighter_B
99,707,948,fighter_A
99,411,914,fighter_B
100,983,823,fighter_A
100,735,694,fighter_B
100,920,232,fighter_B
100,78,426,fighter_A
100,787,807,fighter_A
100,288,146,fighter_A
100,402,848,fighter_A
100,623,487,fighter_B
100,421,755,fighter_A
101,506,381,fighter_B
101,695,566,fighter_B
101,890,233,fighter_B
101,855,111,fighter_B
101,967,751,fighter_B
101,859,679,fighter_A
101,19,273,fighter_A
101,616,800,fighter_B
101,720,973,fighter_A
102,438,906,fighter_A
102,711,79,fighter_B
102,514,317,fighter_A
102,623,400,fighter_B
102,936,131,fighter_A
102,475,4,fighter_A
102,439,24,fighter_A
102,601,222,fighter_A
102,342,405,fighter_B
103,244,34,fighter_A
103,874,441,fighter_A
103,924,489,fighter_A
103,730,977,fighter_A
103,612,479,fighter_A
103,954,974,fighter_A
103,177,379,fighter_A
103,153,753,fighter_A
103,258,854,fighter_A
104,24,361,fighter_A
104,103,658,fighter_A
104,575,415,fighter_B
104,106,715,fighter_A
104,820,984,fighter_B
104,971,978,fighter_B
104,944,275,fighter_B
104,863,15,fighter_A
104,355,323,fighter_B
105,98,599,fighter_B
105,19,159,fighter_B
105,448,266,fighter_B
105,305,248,fighter_B
105,370,894,fighter_B
105,688,194,fighter_A
105,531,96,fighter_A
105,492,341,fighter_A
105,958,947,fighter_A
106,252,371,fighter_B
106,663,202,fighter_B
106,558,312,fighter_B
106,780,975,fighter_B
106,23,238,fighter_A
106,733,26,fighter_A
106,237,443,fighter_A
106,171,250,fighter_B
106,867,545,fighter_A
107,585,482,fighter_A
107,130,699,fighter_B
107,126,388,fighter_B
107,403,657,fighter_B
107,248,983,fighter_A
107,365,602,fighter_B
107,697,156,fighter_A
107,428,883,fighter_A
107,462,191,fighter_A
108,463,623,fighter_B
108,825,691,fighter_A
108,585,397,fighter_B
108,48,175,fighter_B
108,879,203,fighter_A
108,197,193,fighter_B
108,555,815,fighter_A
108,407,212,fighter_B
108,723,85,fighter_A
109,576,591,fighter_A
109,740,459,fighter_A
109,612,132,fighter_B
109,761,84,fighter_A
109,450,762,fighter_A
109,122,138,fighter_A
109,494,574,fighter_A
109,89,802,fighter_B
109,198,133,fighter_A
110,155,419,fighter_A
110,129,372,fighter_B
110,492,749,fighter_A
110,968,716,fighter_A
110,726,556,fighter_B
110,21,767,fighter_A
110,810,781,fighter_B
110,305,933,fighter_A
110,785,218,fighter_A
111,652,717,fighter_B
111,53,913,fighter_B
111,576,225,fighter_B
111,677,396,fighter_A
111,81,129,fighter_B
111,710,530,fighter_B
111,731,301,fighter_A
111,200,737,fighter_B
111,980,952,fighter_A
112,612,198,fighter_B
112,873,508,fighter_B
112,565,142,fighter_B
112,756,227,fighter_B
112,193,349,fighter_A
112,421,229,fighter_B
112,570,12,fighter_A
112,308,204,fighter_B
112,618,807,fighter_B
113,213,244,fighter_A
113,935,612,fighter_A
113,356,45,fighter_A
113,905,514,fighter_A
113,195,567,fighter_A
113,605,667,fighter_A
113,440,980,fighter_A
113,509,451,fighter_B
113,68,608,fighter_B
114,104,743,fighter_A
114,163,923,fighter_B
114,864,362,fighter_A
114,219,168,fighter_B
114,50,211,fighter_B
114,564,184,fighter_A
114,803,970,fighter_A
114,276,565,fighter_B
114,851,325,fighter_B
115,196,122,fighter_B
115,156,114,fighter_A
115,648,53,fighter_B
115,404,720,fighter_B
115,536,184,fighter_B
115,393,832,fighter_B
115,935,289,fighter_B
115,811,771,fighter_A
115,873,574,fighter_B
116,159,575,fighter_B
116,648,216,fighter_B
116,77,32,fighter_A
116,716,38,fighter_A
116,619,320,fighter_A
116,568,25,fighter_A
116,556,693,fighter_A
116,175,136,fighter_A
116,517,915,fighter_A
117,994,490,fighter_A
117,915,278,fighter_B
117,482,36,fighter_A
117,699,161,fighter_B
117,412,524,fighter_B
117,397,753,fighter_A
117,927,178,fighter_A
117,342,548,fighter_A
117,11,427,fighter_B
118,109,975,fighter_A
118,405,283,fighter_A
118,425,890,fighter_B
118,808,57,fighter_B
118,532,898,fighter_B
118,378,494,fighter_A
118,862,239,fighter_B
118,198,647,fighter_A
118,608,504,fighter_A
119,366,887,fighter_B
119,768,639,fighter_B
119,532,962,fighter_A
119,568,592,fighter_B
119,134,155,fighter_A
119,382,84,fighter_B
119,443,688,fighter_A
119,179,316,fighter_A
119,405,771,fighter_B
120,857,978,fighter_A
120,676,394,fighter_B
120,819,909,fighter_A
120,365,690,fighter_B
120,935,256,fighter_A
120,9,790,fighter_A
120,90,570,fighter_A
120,834,673,fighter_A
120,697,190,fighter_A
121,385,464,fighter_B
121,924,947,fighter_A
121,945,549,fighter_A
121,381,837,fighter_A
121,327,851,fighter_A
121,859,479,fighter_A
121,694,819,fighter_A
121,567,915,fighter_A
121,198,205,fighter_A
122,216,269,fighter_B
122,121,283,fighter_A
122,925,394,fighter_B
122,513,132,fighter_A
122,658,388,fighter_B
122,43,579,fighter_B
122,685,669,fighter_B
122,288,836,fighter_A
122,736,181,fighter_A
123,292,32,fighter_A
123,470,812,fighter_B
123,982,108,fighter_B
123,619,271,fighter_A
123,750,836,fighter_B
123,886,498,fighter_A
123,103,796,fighter_A
123,266,916,fighter_A
123,922,749,fighter_B
124,510,395,fighter_B
124,846,643,fighter_A
124,949,715,fighter_A
124,390,392,fighter_A
124,108,272,fighter_A
124,638,53,fighter_B
124,215,890,fighter_A
124,636,52,fighter_A
124,832,34,fighter_A
125,752,62,fighter_B
125,344,870,fighter_A
125,561,51,fighter_B
125,232,316,fighter_B
125,631,626,fighter_B
125,437,85,fighter_B
125,764,879,fighter_B
125,639,689,fighter_B
125,811,208,fighter_B
126,143,357,fighter_B
126,129,568,fighter_B
126,527,378,fighter_A
126,69,445,fighter_A
126,102,918,fighter_A
126,613,554,fighter_B
126,900,207,fighter_B
126,791,447,fighter_B
126,418,125,fighter_B
127,171,927,fighter_B
127,960,658,fighter_B
127,23,873,fighter_B
127,599,431,fighter_A
127,573,657,fighter_B
127,954,494,fighter_B
127,944,336,fighter_B
127,597,997,fighter_A
127,763,959,fighter_B
128,494,337,fighter_A
128,693,56,fighter_B
128,576,199,fighter_B
128,372,108,fighter_B
128,257,749,fighter_B
128,172,599,fighter_B
128,272,98,fighter_B
128,255,182,fighter_A
128,877,410,fighter_A
129,619,199,fighter_A
129,31,960,fighter_A
129,38,63,fighter_B
129,979,552,fighter_A
129,796,312,fighter_A
129,327,688,fighter_A
129,895,229,fighter_B
129,851,721,fighter_B
129,962,562,fighter_B
130,364,481,fighter_B
130,199,711,fighter_B
